,facility_name,total_orders,revenue,total_cancellations,lost_rev,percent_cancel
24,Taco CSS (21470),954,19638.81000000001,21,485.08000000000004,0.0220125786163522
11,Taco CSS (1646),921,17862.619999999977,21,376.65999999999997,0.02280130293159609
117,Taco CSS (31392),442,10345.499999999998,21,416.29999999999995,0.04751131221719457
57,Taco CSS (26742),332,7389.830000000003,20,530.9300000000001,0.060240963855421686
38,Taco CSS (2440),533,11471.419999999991,20,369.2,0.0375234521575985
8,Taco CSS (1264),582,12469.080000000013,20,419.57000000000005,0.03436426116838488
135,Taco CSS (33338),741,15109.449999999968,20,439.92999999999995,0.02699055330634278
123,Taco CSS (32134),421,8119.480000000001,20,474.86,0.047505938242280284
128,Taco CSS (32357),332,6592.730000000002,19,358.73,0.0572289156626506
41,Taco CSS (24649),348,7722.620000000004,19,466.31,0.05459770114942529
44,Taco CSS (24653),453,10181.420000000002,19,372.1499999999999,0.04194260485651214
16,Taco CSS (1938),1216,22959.339999999993,19,312.18999999999994,0.015625
56,Taco CSS (26741),300,6537.509999999999,18,373.65999999999997,0.06
12,Taco CSS (1651),879,18953.899999999998,18,309.71,0.020477815699658702
14,Taco CSS (1795),459,9634.730000000005,18,337.18,0.0392156862745098
105,Taco CSS (30419),491,11334.689999999993,18,378.1,0.03665987780040733
94,Taco CSS (30405),999,21092.890000000018,17,234.06000000000003,0.01701701701701702
75,Taco CSS (27886),424,9079.530000000006,15,331.28000000000003,0.03537735849056604
35,Taco CSS (23272),349,7699.020000000001,14,339.11,0.04011461318051576
83,Taco CSS (29258),488,10157.820000000005,14,297.15999999999997,0.028688524590163935
80,Taco CSS (27900),751,15579.790000000003,14,260.07,0.018641810918774968
120,Taco CSS (31560),319,6378.94,13,333.65999999999997,0.04075235109717868
124,Taco CSS (32168),315,6317.92,12,282.59000000000003,0.0380952380952381
74,Taco CSS (2762),603,13184.51000000001,12,256.6,0.01990049751243781
85,Taco CSS (29978),257,6118.909999999997,12,258.09,0.04669260700389105
139,Taco CSS (3584),690,15128.030000000008,12,250.75,0.017391304347826087
66,Taco CSS (26751),484,9660.410000000003,12,233.73999999999995,0.024793388429752067
19,Taco CSS (20199),521,11500.77000000001,12,248.43,0.023032629558541268
29,Taco CSS (22671),583,12218.939999999993,12,188.04,0.02058319039451115
30,Taco CSS (23265),431,9058.370000000003,12,177.94,0.027842227378190254
32,Taco CSS (23269),371,8355.519999999993,11,276.54,0.029649595687331536
25,Taco CSS (21488),544,12199.179999999997,11,232.21,0.02022058823529412
130,Taco CSS (32543),276,5388.520000000001,11,335.65000000000003,0.03985507246376811
26,Taco CSS (21521),430,9357.789999999999,11,194.64999999999998,0.02558139534883721
53,Taco CSS (26738),454,9602.219999999998,11,187.36999999999998,0.024229074889867842
121,Taco CSS (3190),489,11021.92999999999,11,305.67999999999995,0.022494887525562373
50,Taco CSS (26735),339,7811.019999999995,10,306.96999999999997,0.029498525073746312
37,Taco CSS (24298),255,5878.809999999998,10,152.07,0.0392156862745098
141,Taco CSS (36293),219,5060.2800000000025,10,202.24,0.045662100456621
87,Taco CSS (30398),772,15705.72999999999,10,187.89,0.012953367875647668
82,Taco CSS (27903),272,5927.899999999999,10,213.25000000000003,0.03676470588235294
131,Taco CSS (3291),422,8894.339999999995,9,194.85000000000002,0.02132701421800948
111,Taco CSS (30970),338,7022.0900000000065,9,203.23000000000002,0.026627218934911243
144,Taco CSS (5228),146,3099.750000000001,9,192.73000000000002,0.06164383561643835
127,Taco CSS (32348),151,3009.52,9,143.61,0.059602649006622516
0,Taco CSS (005624),374,8175.199999999998,9,117.5,0.02406417112299465
47,Taco CSS (26083),340,7776.169999999998,9,215.89999999999998,0.026470588235294117
61,Taco CSS (26746),450,9520.950000000006,9,210.51999999999998,0.02
39,Taco CSS (24444),442,9854.980000000001,9,218.08999999999997,0.020361990950226245
